project id,name,category,target,city,year,total number of votes,number of votes,popularity percentage,total budget,cost,cost percentage,selected by phragmen,utility,selected by greedy,selected by equal shares,selected by equal shares with greedy completion,selection fraction,percentage of phragmen selection,percentage of greedy selection,percentage of equalshares selection,percentage of equalshares selection with greedy completion,budget utilisation in phragmen,budget utilisation in utilitarian greedy,budget utilisation in equal shares,budget utilisation in equal shares with greedy completion,total number of projects,voting method
1211,Bezpieczna droga do szkoły - budowa chodnika ul. Paderewskiego (Katiuszy-Strycharska),public transit and roads,"youth,seniors,families with children",rembertow,2019,6204,420,0.0676982591876209,700000,229500,0.327857142857143,0,546.23,1,0,1,0.501,0.826086956521739,0.608695652173913,0.695652173913043,0.739130434782609,0.972357142857143,0.999571428571429,0.598785714285714,0.926642857142857,23,approval
2141,Doposażenie dla małych dzieci istniejących placów zabaw,"public space,sport,urban greenery","children,families with children",rembertow,2019,6204,418,0.0673758865248227,700000,80000,0.114285714285714,0,191.39,1,0,1,0.501,0.826086956521739,0.608695652173913,0.695652173913043,0.739130434782609,0.972357142857143,0.999571428571429,0.598785714285714,0.926642857142857,23,approval
1356,Organizacja wydarzeń kulturalnych w Bibliotece Publicznej w Dz. Rembertów,"education,culture","children,youth,adults",rembertow,2019,6204,340,0.0548033526756931,700000,40000,0.0571428571428571,1,117.65,1,1,1,0.833,0.826086956521739,0.608695652173913,0.695652173913043,0.739130434782609,0.972357142857143,0.999571428571429,0.598785714285714,0.926642857142857,23,approval
2183,Zakup gier planszowych do miejsca aktywności sąsiedzkiej przy Domu Kultury Rembertów,"education,culture","seniors,families with children",rembertow,2019,6204,330,0.0531914893617021,700000,3800,0.00542857142857143,1,11.52,1,1,1,0.833,0.826086956521739,0.608695652173913,0.695652173913043,0.739130434782609,0.972357142857143,0.999571428571429,0.598785714285714,0.926642857142857,23,approval
433,Doświetlenie przejść dla pieszych w ciągu ulicy Chełmżyńskiej.,"public transit and roads,public space","children,seniors,families with children",rembertow,2019,6204,278,0.0448098001289491,700000,120000,0.171428571428571,0,431.65,0,0,0,0.167,0.826086956521739,0.608695652173913,0.695652173913043,0.739130434782609,0.972357142857143,0.999571428571429,0.598785714285714,0.926642857142857,23,approval
192,Warsztaty z robotyki w Domu Kultury Wygoda,"education,culture",children,rembertow,2019,6204,267,0.043036750483559,700000,11200,0.016,1,41.95,1,1,1,0.833,0.826086956521739,0.608695652173913,0.695652173913043,0.739130434782609,0.972357142857143,0.999571428571429,0.598785714285714,0.926642857142857,23,approval
1889,"Rembertowska Warsztatownia, czyli cykl praktycznych warsztatów dla każdego.","education,culture","adults,seniors,families with children",rembertow,2019,6204,265,0.0427143778207608,700000,20000,0.0285714285714286,1,75.47,0,1,1,0.668,0.826086956521739,0.608695652173913,0.695652173913043,0.739130434782609,0.972357142857143,0.999571428571429,0.598785714285714,0.926642857142857,23,approval
193,Warsztaty bębniarskie w Domu Kultury Wygoda,"education,culture",children,rembertow,2019,6204,253,0.0407801418439716,700000,4200,0.006,1,16.6,1,1,1,0.833,0.826086956521739,0.608695652173913,0.695652173913043,0.739130434782609,0.972357142857143,0.999571428571429,0.598785714285714,0.926642857142857,23,approval
1347,Pracownia Druku Przestrzennego 3D w Domu Kultury „Rembertów”,"education,culture","youth,adults,families with children",rembertow,2019,6204,234,0.0377176015473888,700000,31500,0.045,0,134.62,0,1,1,0.501,0.826086956521739,0.608695652173913,0.695652173913043,0.739130434782609,0.972357142857143,0.999571428571429,0.598785714285714,0.926642857142857,23,approval
1905,Edukacja ekologiczna dla poprawy jakości powietrza w Rembertowie - warsztaty ekologiczne w Domu Kultury Rembertów,"education,environmental protection","children,families with children",rembertow,2019,6204,214,0.0344938749194068,700000,17300,0.0247142857142857,1,80.84,0,1,1,0.668,0.826086956521739,0.608695652173913,0.695652173913043,0.739130434782609,0.972357142857143,0.999571428571429,0.598785714285714,0.926642857142857,23,approval
2092,Dzieci dzieciom czyli warsztaty samodzielnego wykonywania zabawek,"education,culture,environmental protection","children,youth,families with children",rembertow,2019,6204,204,0.0328820116054159,700000,22150,0.0316428571428571,1,108.58,0,1,1,0.668,0.826086956521739,0.608695652173913,0.695652173913043,0.739130434782609,0.972357142857143,0.999571428571429,0.598785714285714,0.926642857142857,23,approval
2121,Ogólnodostępne spektakle na Wygodzie,"education,culture","children,seniors,families with children",rembertow,2019,6204,184,0.0296582849774339,700000,77000,0.11,0,418.48,0,0,0,0.167,0.826086956521739,0.608695652173913,0.695652173913043,0.739130434782609,0.972357142857143,0.999571428571429,0.598785714285714,0.926642857142857,23,approval
191,Neon Dom Kultury Wygoda,"culture,environmental protection,public space","children,youth,adults",rembertow,2019,6204,157,0.0253062540296583,700000,20000,0.0285714285714286,1,127.39,0,1,0,0.501,0.826086956521739,0.608695652173913,0.695652173913043,0.739130434782609,0.972357142857143,0.999571428571429,0.598785714285714,0.926642857142857,23,approval
,,,,,,,,,,676650,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1273050,,,,,,,,,,,,,,,,,
