"project id",name,category,target,city,year,"total number of votes","number of votes","popularity percentage","total budget",cost,"cost percentage","selected by phragmen","selected by greedy","selected by equal shares","selected by equal shares with greedy completion","percentage of phragmen selection","percentage of greedy selection","percentage of equalshares selection","percentage of equalshares selection with greedy completion","budget utilisation in phragmen","budget utilisation in utilitarian greedy","budget utilisation in equal shares","budget utilisation in equal shares with greedy completion","total number of projects","voting method"
1448,"Lodowisko - Rembertów 2018","education,sport,health","youth,adults,families with children",rembertow,2018,10128,632,0.06240126382306477,700000,320000,0.45714285714285713,0,1,0,0,0.6774193548387096,0.3225806451612903,0.5161290322580645,0.6129032258064516,0.9778857142857142,0.9876,0.6257428571428572,0.9912285714285715,31,approval
234,"Zakup nowości wydawniczych do Biblioteki Publicznej w dz. Rembertów","education,culture","children,adults,seniors",rembertow,2018,10128,525,0.05183649289099526,700000,42000,0.06,1,1,1,1,0.6774193548387096,0.3225806451612903,0.5161290322580645,0.6129032258064516,0.9778857142857142,0.9876,0.6257428571428572,0.9912285714285715,31,approval
1326,"Nasadzenia drzew i krzewów w Dzielnicy Rembertów","environmental protection,health,urban greenery","youth,adults,animals",rembertow,2018,10128,522,0.05154028436018957,700000,93300,0.13328571428571429,1,1,1,1,0.6774193548387096,0.3225806451612903,0.5161290322580645,0.6129032258064516,0.9778857142857142,0.9876,0.6257428571428572,0.9912285714285715,31,approval
679,"AED - Zakup Automatycznych Defibrylatorów Zewnętrznych","education,public space,health","youth,adults",rembertow,2018,10128,490,0.048380726698262246,700000,25920,0.03702857142857143,1,1,1,1,0.6774193548387096,0.3225806451612903,0.5161290322580645,0.6129032258064516,0.9778857142857142,0.9876,0.6257428571428572,0.9912285714285715,31,approval
2403,"Barwny świat teatru - Warsztaty charakteryzacji dla dzieci w Domu Kultury Rembertów","education,culture","children",rembertow,2018,10128,471,0.04650473933649289,700000,2900,0.004142857142857143,1,1,1,1,0.6774193548387096,0.3225806451612903,0.5161290322580645,0.6129032258064516,0.9778857142857142,0.9876,0.6257428571428572,0.9912285714285715,31,approval
2642,"Psie stacje i kosze na śmieci","public space,urban greenery","adults,animals",rembertow,2018,10128,467,0.04610979462875198,700000,160500,0.2292857142857143,0,1,0,1,0.6774193548387096,0.3225806451612903,0.5161290322580645,0.6129032258064516,0.9778857142857142,0.9876,0.6257428571428572,0.9912285714285715,31,approval
1334,"Wsparcie dla seniorów - wyposażenie dla klubu seniora.","education,welfare","adults,seniors,people with disabilities",rembertow,2018,10128,460,0.04541864139020537,700000,8500,0.012142857142857143,1,1,1,1,0.6774193548387096,0.3225806451612903,0.5161290322580645,0.6129032258064516,0.9778857142857142,0.9876,0.6257428571428572,0.9912285714285715,31,approval
239,"Organizacja wydarzeń kulturalnych w Bibliotece Publicznej w Dz. Rembertów","education,culture","children,adults,seniors",rembertow,2018,10128,416,0.04107424960505529,700000,25000,0.03571428571428571,1,1,1,1,0.6774193548387096,0.3225806451612903,0.5161290322580645,0.6129032258064516,0.9778857142857142,0.9876,0.6257428571428572,0.9912285714285715,31,approval
2653,"Miejskie stoliki i krzesła","public space","seniors,families with children",rembertow,2018,10128,411,0.04058056872037915,700000,60000,0.08571428571428572,1,0,1,1,0.6774193548387096,0.3225806451612903,0.5161290322580645,0.6129032258064516,0.9778857142857142,0.9876,0.6257428571428572,0.9912285714285715,31,approval
344,"Nieodpłatne warsztaty uniwersytetu dziecięcego w Bibliotece Publicznej w Rembertowie","education","children,families with children",rembertow,2018,10128,399,0.039395734597156395,700000,25000,0.03571428571428571,1,0,1,1,0.6774193548387096,0.3225806451612903,0.5161290322580645,0.6129032258064516,0.9778857142857142,0.9876,0.6257428571428572,0.9912285714285715,31,approval
1170,"Organizacja bezpłatnych zajęć nauki pływania dla dzieci w wieku szkolnym","education,health","children",rembertow,2018,10128,395,0.03900078988941548,700000,65340,0.09334285714285714,1,0,0,1,0.6774193548387096,0.3225806451612903,0.5161290322580645,0.6129032258064516,0.9778857142857142,0.9876,0.6257428571428572,0.9912285714285715,31,approval
1444,"Szachy - inwestycja w umysł dla dzieci i młodzieży","education,sport","children,youth,people with disabilities",rembertow,2018,10128,387,0.03821090047393365,700000,25000,0.03571428571428571,1,0,1,1,0.6774193548387096,0.3225806451612903,0.5161290322580645,0.6129032258064516,0.9778857142857142,0.9876,0.6257428571428572,0.9912285714285715,31,approval
1447,"Bezpieczna droga do szkoły - budowa chodnika ul. Paderewskiego (Katiuszy-Strycharska)","public transit and roads","youth,seniors,families with children",rembertow,2018,10128,373,0.03682859399684044,700000,227500,0.325,0,0,0,0,0.6774193548387096,0.3225806451612903,0.5161290322580645,0.6129032258064516,0.9778857142857142,0.9876,0.6257428571428572,0.9912285714285715,31,approval
682,"Rodzinne szkolenia z zakresu udzielania pierwszej pomocy","education,health","adults,seniors,families with children",rembertow,2018,10128,359,0.03544628751974724,700000,24700,0.03528571428571429,1,0,1,1,0.6774193548387096,0.3225806451612903,0.5161290322580645,0.6129032258064516,0.9778857142857142,0.9876,0.6257428571428572,0.9912285714285715,31,approval
1455,"Kino w plenerze na terenie Domu Kultury Wygoda","education,culture,public space","youth,adults,students",rembertow,2018,10128,358,0.035347551342812006,700000,25000,0.03571428571428571,1,0,1,1,0.6774193548387096,0.3225806451612903,0.5161290322580645,0.6129032258064516,0.9778857142857142,0.9876,0.6257428571428572,0.9912285714285715,31,approval
1337,"Wsparcie chóru Rembertowskiej Akademii Seniora - zakup strojów dla 20 chórzystek.","culture,public space","seniors,people with disabilities,families with children",rembertow,2018,10128,347,0.034261453396524484,700000,6000,0.008571428571428572,1,1,1,1,0.6774193548387096,0.3225806451612903,0.5161290322580645,0.6129032258064516,0.9778857142857142,0.9876,0.6257428571428572,0.9912285714285715,31,approval
1289,"Renowacja nawierzchni wielofunkcyjnego boiska szkolnego przy Ziemskiego.","education,sport","children,youth,adults",rembertow,2018,10128,284,0.028041074249605055,700000,180200,0.25742857142857145,0,0,0,0,0.6774193548387096,0.3225806451612903,0.5161290322580645,0.6129032258064516,0.9778857142857142,0.9876,0.6257428571428572,0.9912285714285715,31,approval
1545,"Skarby Rembertowa. Czego nie wiesz o swojej dzielnicy?","education,culture","children,adults,families with children",rembertow,2018,10128,276,0.027251184834123223,700000,7200,0.010285714285714285,1,1,1,1,0.6774193548387096,0.3225806451612903,0.5161290322580645,0.6129032258064516,0.9778857142857142,0.9876,0.6257428571428572,0.9912285714285715,31,approval
2649,"Zrób To Sam w Rembertowie! – cykl praktycznych warsztatów dla każdego.","education,culture","adults,seniors,families with children",rembertow,2018,10128,263,0.025967614533965244,700000,26000,0.037142857142857144,1,0,1,1,0.6774193548387096,0.3225806451612903,0.5161290322580645,0.6129032258064516,0.9778857142857142,0.9876,0.6257428571428572,0.9912285714285715,31,approval
542,"Mini Studio Audiowizualne w Domu Kultury Wygoda","education","children,youth,adults",rembertow,2018,10128,259,0.025572669826224328,700000,22000,0.03142857142857143,1,0,1,1,0.6774193548387096,0.3225806451612903,0.5161290322580645,0.6129032258064516,0.9778857142857142,0.9876,0.6257428571428572,0.9912285714285715,31,approval
1335,"Wydarzenia kulturalne dla seniorów w Bibliotece","culture,welfare,public space","seniors,people with disabilities,families with children",rembertow,2018,10128,240,0.023696682464454975,700000,30000,0.04285714285714286,1,0,0,1,0.6774193548387096,0.3225806451612903,0.5161290322580645,0.6129032258064516,0.9778857142857142,0.9876,0.6257428571428572,0.9912285714285715,31,approval
2692,"Pracownia Druku Przestrzennego 3D w Domu Kultury „Rembertów”","education,culture,sport","youth,adults,families with children",rembertow,2018,10128,233,0.023005529225908372,700000,28000,0.04,1,0,0,0,0.6774193548387096,0.3225806451612903,0.5161290322580645,0.6129032258064516,0.9778857142857142,0.9876,0.6257428571428572,0.9912285714285715,31,approval
1583,"Sezonowe lodowisko na terenie Domu Kultury Wygoda","public space,sport,health","children,youth,families with children",rembertow,2018,10128,220,0.021721958925750396,700000,250000,0.35714285714285715,0,0,0,0,0.6774193548387096,0.3225806451612903,0.5161290322580645,0.6129032258064516,0.9778857142857142,0.9876,0.6257428571428572,0.9912285714285715,31,approval
1922,"Tańcz i Ty - warsztaty taneczne dla dorosłych, potańcówki dla dorosłych","culture,sport,health","adults,seniors,students",rembertow,2018,10128,214,0.02112954186413902,700000,19500,0.027857142857142858,1,0,1,1,0.6774193548387096,0.3225806451612903,0.5161290322580645,0.6129032258064516,0.9778857142857142,0.9876,0.6257428571428572,0.9912285714285715,31,approval
2636,"Siatkówka OPEN REMBERTÓW cd.","sport","youth,adults,students",rembertow,2018,10128,208,0.020537124802527645,700000,61560,0.08794285714285714,1,0,0,0,0.6774193548387096,0.3225806451612903,0.5161290322580645,0.6129032258064516,0.9778857142857142,0.9876,0.6257428571428572,0.9912285714285715,31,approval
2028,"Budowa chodnika po nieparzystej stronie ul. Republikańskiej od ul. Dziewosłęby do ul. Fiszera","public transit and roads,public space","children,adults,people with disabilities",rembertow,2018,10128,171,0.01688388625592417,700000,61600,0.088,1,0,0,0,0.6774193548387096,0.3225806451612903,0.5161290322580645,0.6129032258064516,0.9778857142857142,0.9876,0.6257428571428572,0.9912285714285715,31,approval
560,"Projekt i rewitalizacja zieleni na Rondzie im. Emila Fieldorfa","public transit and roads,public space,urban greenery","students,families with children",rembertow,2018,10128,163,0.016093996840442337,700000,114500,0.16357142857142856,0,0,0,0,0.6774193548387096,0.3225806451612903,0.5161290322580645,0.6129032258064516,0.9778857142857142,0.9876,0.6257428571428572,0.9912285714285715,31,approval
1388,"100 bezpłatnych lekcji angielskiego dla mieszkańców Rembertowa + dostęp do aplikacji rozbudowującej słownictwo","education,welfare","youth,adults,students",rembertow,2018,10128,159,0.01569905213270142,700000,82000,0.11714285714285715,0,0,0,0,0.6774193548387096,0.3225806451612903,0.5161290322580645,0.6129032258064516,0.9778857142857142,0.9876,0.6257428571428572,0.9912285714285715,31,approval
