0,project_id,cost,category,votes,name,target,selected
1,1211,229500,public transit and roads,420,Bezpieczna droga do szkoły - budowa chodnika ul. Paderewskiego (Katiuszy-Strycharska),"youth,seniors,families with children",1
2,2141,80000,"public space,sport,urban greenery",418,Doposażenie dla małych dzieci istniejących placów zabaw,"children,families with children",1
3,731,46000,"education,culture,public space",402,Książki i multimedia dla Biblioteki Publicznej w Dzielnicy Rembertów,"children,youth,adults",1
4,76,39400,"education,health",358,Akademia ratowania życia dla młodzieży,youth,1
5,1356,40000,"education,culture",340,Organizacja wydarzeń kulturalnych w Bibliotece Publicznej w Dz. Rembertów,"children,youth,adults",1
6,921,25500,education,333,Zajęcia uniwersytetu dziecięcego w Bibliotece w Rembertowie,"children,families with children",1
7,2183,3800,"education,culture",330,Zakup gier planszowych do miejsca aktywności sąsiedzkiej przy Domu Kultury Rembertów,"seniors,families with children",1
8,433,120000,"public transit and roads,public space",278,Doświetlenie przejść dla pieszych w ciągu ulicy Chełmżyńskiej.,"children,seniors,families with children",1
9,2083,14400,"education,health",269,Warsztaty kulinarne dla dzieci,"children,youth,families with children",1
10,192,11200,"education,culture",267,Warsztaty z robotyki w Domu Kultury Wygoda,children,1
11,1889,20000,"education,culture",265,"Rembertowska Warsztatownia, czyli cykl praktycznych warsztatów dla każdego.","adults,seniors,families with children",1
12,2220,34200,culture,255,Potańcówki wielopokoleniowe integracyjne,"youth,seniors,families with children",1
13,193,4200,"education,culture",253,Warsztaty bębniarskie w Domu Kultury Wygoda,children,1
14,1827,64500,"culture,sport",244,"Inkubator Inicjatyw Mieszkańców - cykl wydarzeń turystycznych, sportowych i kulturalnych w Dzielnicy Rembertów","youth,adults,seniors",0
15,2109,173900,"public transit and roads,public space,urban greenery",239,Naturalistyczny deptak na Nowym Rembertowie,"youth,adults,families with children",0
16,1347,31500,"education,culture",234,Pracownia Druku Przestrzennego 3D w Domu Kultury „Rembertów”,"youth,adults,families with children",1
17,1905,17300,"education,environmental protection",214,Edukacja ekologiczna dla poprawy jakości powietrza w Rembertowie - warsztaty ekologiczne w Domu Kultury Rembertów,"children,families with children",0
18,1187,114000,"public transit and roads,public space,urban greenery",213,Projekt i rewitalizacja zieleni na Rondzie im. Emila Fieldorfa-Nila. Projekt spójny z nr .2169 na rok 2017.,"youth,adults,families with children",0
19,2092,22150,"education,culture,environmental protection",204,Dzieci dzieciom czyli warsztaty samodzielnego wykonywania zabawek,"children,youth,families with children",0
20,2074,9500,"education,culture",201,Mój pierwszy samolot - Rodzinne warsztaty modelarskie w Domu Kultury Rembertów,"youth,seniors,families with children",0
21,2121,77000,"education,culture",184,Ogólnodostępne spektakle na Wygodzie,"children,seniors,families with children",0
22,191,20000,"culture,environmental protection,public space",157,Neon Dom Kultury Wygoda,"children,youth,adults",0
23,1213,75000,"education,culture,public space",126,Tablica świetlna na gmachu Urzędu Dzielnicy Warszawa Rembertów,"youth,adults",0
