election_id,voter_id,age,sex
2,80837,23,M
2,4056,39,M
2,30770,48,F
2,3882,18,M
2,34625,41,M
2,25279,46,F
2,3396,39,F
2,645,16,M
2,9388,1,F
2,56432,48,M
2,48876,48,M
2,9413,34,F
2,24184,23,F
2,3117,35,M
2,28957,66,F
2,65366,45,M
2,528,55,M
2,36689,28,F
2,42795,68,F
2,25991,36,F
2,31520,45,M
2,49020,2,M
2,30373,8,F
2,42934,52,M
2,46240,17,M
2,44912,38,F
2,60441,13,M
2,13639,33,M
2,28225,33,F
2,50746,30,F
2,86478,43,F
2,27740,45,M
2,4714,29,F
2,37241,31,F
2,62686,42,F
2,83447,5,F
2,16950,64,M
2,19129,36,F
2,74123,69,M
2,24143,48,F
2,41888,43,M
2,57329,6,F
2,24238,29,F
2,32443,39,M
2,85329,48,F
2,37430,8,M
2,63051,47,M
2,3799,45,M
2,28893,53,F
2,75624,66,F
2,35803,32,F
2,57125,52,M
2,20051,43,F
2,66108,7,M
2,81211,37,F
2,43812,53,F
2,67244,77,M
2,22539,45,F
2,46783,31,F
2,21162,47,F
2,1416,42,F
2,502,44,F
2,33037,30,F
2,48230,27,F
2,56526,32,F
2,82539,36,M
2,79434,8,F
2,31972,53,F
2,72257,13,F
2,63437,4,F
2,3300,37,F
2,25747,34,F
2,35160,43,F
2,45589,40,F
2,65373,19,M
2,11869,70,M
2,9487,43,F
2,19536,47,F
2,42760,53,M
2,47849,36,F
2,77485,57,F
2,19421,59,F
2,17409,10,M
2,25435,75,M
2,41351,72,F
2,14906,25,M
2,49625,40,F
2,56671,43,F
2,51941,24,F
2,21941,7,M
2,53840,43,F
2,79563,66,M
2,87105,35,M
2,19945,46,M
2,40703,52,F
2,41555,67,M
2,29785,50,F
2,47859,39,M
2,61497,36,F
2,85654,43,M
2,50405,32,F
2,13684,33,F
2,54933,50,F
2,19285,41,F
2,64104,44,M
2,63632,48,F
2,15795,46,F
2,25399,42,F
2,25556,21,M
2,36606,34,F
2,77273,35,M
2,57563,40,F
2,33608,40,F
2,60291,35,M
2,25295,43,F
2,41660,42,F
2,40165,35,M
2,42993,36,F
2,41320,40,F
2,22867,36,F
2,50766,75,F
2,82196,69,F
2,37217,40,F
2,48404,31,M
2,43778,11,F
2,72431,48,F
2,78407,38,F
2,36988,36,M
2,78899,32,F
2,55195,40,F
2,56157,36,F
2,33963,57,F
2,47670,23,M
2,28124,45,F
2,28254,42,F
2,84700,67,F
2,47985,39,F
2,38033,8,F
2,1220,36,F
2,418,41,F
2,42639,42,F
2,26800,32,F
2,79534,2,F
2,82690,41,F
2,42196,61,M
2,50854,36,F
2,82998,6,M
2,41459,37,M
2,46722,34,M
2,7127,41,F
2,57609,9,F
2,48908,37,F
2,74321,82,M
2,50609,31,F
2,20254,38,F
2,48890,8,F
2,3821,33,F
2,79367,36,F
2,48407,41,F
2,45525,40,F
2,72230,30,F
2,1490,8,F
2,77929,5,M
2,37018,21,M
2,62221,47,M
2,34480,65,M
2,11610,44,M
2,28684,72,F
2,69426,45,F
2,74600,29,M
2,1209,34,F
2,48013,22,F
2,54531,58,F
2,57195,31,M
2,34562,14,F
2,54482,38,F
2,19168,39,F
2,27865,34,F
2,34088,7,F
2,25594,52,F
2,58377,34,M
2,52909,53,M
2,52548,70,F
2,40788,54,F
2,24416,30,M
2,22929,39,M
2,36650,36,F
2,53417,9,F
2,41530,27,F
2,81498,9,F
2,33313,43,M
2,59968,28,M
2,41000,44,F
2,65771,38,F
2,13704,21,F
2,30010,10,F
2,22096,32,F
2,23884,30,F
2,21850,41,F
2,64502,33,F
2,29500,62,F
2,36628,35,F
2,38071,39,M
2,52206,28,M
2,62073,42,M
2,34789,10,M
2,86556,38,F
2,1781,37,F
2,49756,35,F
2,6949,38,F
2,30026,8,M
2,51549,49,F
2,54468,35,F
2,75671,43,M
2,58428,50,F
2,80282,40,F
2,18337,39,M
2,50230,37,M
2,46969,67,F
2,11906,16,F
2,57145,49,F
2,79610,27,F
2,76086,62,M
2,80857,35,F
2,41738,31,F
2,38872,60,M
2,67194,35,F
2,54176,68,F
2,493,29,M
2,18327,57,M
2,67775,26,F
2,58659,8,M
2,25842,40,F
2,48523,33,F
2,20192,32,M
2,51781,57,F
2,30669,32,F
2,72929,36,F
2,80958,52,M
2,6819,39,F
2,38050,6,F
2,55156,32,M
2,50561,42,M
2,45899,39,F
2,14314,33,F
2,7004,32,M
2,5740,31,M
2,70777,37,F
2,59299,55,M
2,9338,38,F
