"project id",name,category,target,city,year,"total number of votes","number of votes","popularity percentage","total budget",cost,"cost percentage","selected by phragmen","selected by greedy","selected by equal shares","selected by equal shares with greedy completion","percentage of phragmen selection","percentage of greedy selection","percentage of equalshares selection","percentage of equalshares selection with greedy completion","budget utilisation in phragmen","budget utilisation in utilitarian greedy","budget utilisation in equal shares","budget utilisation in equal shares with greedy completion","total number of projects","voting method"
84,"Zawieszenie budek lęgowych dla jerzyków i wróbli na budynku przy ul. Podleśniej 50","education,environmental protection,health","seniors,families with children",warszawa,2017,3751,420,0.1119701412956545,550000,1840,0.0033454545454545456,1,1,1,1,0.6428571428571429,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.89984,0.9880890909090909,0.27972545454545455,0.9925672727272727,14,approval
1059,"Plac zabaw dla przedszkolaków","education,sport,health","children,students,families with children",warszawa,2017,3751,376,0.10023993601706212,550000,350000,0.6363636363636364,0,1,0,1,0.6428571428571429,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.89984,0.9880890909090909,0.27972545454545455,0.9925672727272727,14,approval
1213,"Sprzęt sportowy i rekreacyjny dla świetlicy - Szkoła Podstawowa nr 53 im. Mariusza Zaruskiego","education,sport,health","children,families with children",warszawa,2017,3751,375,0.09997334044254866,550000,19339,0.03516181818181818,1,1,1,1,0.6428571428571429,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.89984,0.9880890909090909,0.27972545454545455,0.9925672727272727,14,approval
1393,"Modernizacja placu zabaw przy budynkach Klaudyny 30 i 32","education,culture,sport","children,families with children",warszawa,2017,3751,355,0.0946414289522794,550000,185000,0.33636363636363636,1,0,0,0,0.6428571428571429,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.89984,0.9880890909090909,0.27972545454545455,0.9925672727272727,14,approval
844,"Zazieleńmy Marymoncką i Podleśną","environmental protection,public space,urban greenery","children,youth,adults",warszawa,2017,3751,343,0.09144228205811783,550000,32930,0.05987272727272727,1,1,1,1,0.6428571428571429,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.89984,0.9880890909090909,0.27972545454545455,0.9925672727272727,14,approval
2301,"Budowa ścieżki rowerowej w ul. Rudzkiej na odcinku Klaudyny - Gdańska","public transit and roads","youth,adults,families with children",warszawa,2017,3751,305,0.08131165022660623,550000,152000,0.27636363636363637,0,0,0,0,0.6428571428571429,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.89984,0.9880890909090909,0.27972545454545455,0.9925672727272727,14,approval
1183,"Świetlica językowa u Zaruskiego","education","children",warszawa,2017,3751,290,0.07731271660890429,550000,25340,0.04607272727272727,1,1,1,1,0.6428571428571429,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.89984,0.9880890909090909,0.27972545454545455,0.9925672727272727,14,approval
2200,"Uzupełnienie brakującego odcinka ścieżki rowerowej wzdłuż trasy AK w rejonie ul. Rudzkiej","public transit and roads","youth,adults,families with children",warszawa,2017,3751,281,0.07491335643828312,550000,114000,0.20727272727272728,1,1,0,0,0.6428571428571429,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.89984,0.9880890909090909,0.27972545454545455,0.9925672727272727,14,approval
23,"Zadaszony przystanek autobusowy ZTM Rudzka 03 (w kierunku Osiedla Potok)","public transit and roads","youth,adults,people with disabilities",warszawa,2017,3751,250,0.06664889362836576,550000,35900,0.06527272727272727,1,0,1,1,0.6428571428571429,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.89984,0.9880890909090909,0.27972545454545455,0.9925672727272727,14,approval
1580,"Disc Golf Bielany - pierwsze warszawskie pole do gry w disc golfa","public space,sport,urban greenery","youth,adults,families with children",warszawa,2017,3751,236,0.06291655558517728,550000,38500,0.07,1,0,1,1,0.6428571428571429,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.89984,0.9880890909090909,0.27972545454545455,0.9925672727272727,14,approval
2176,"Jazz na Kępie Potockiej","education,culture,public space","seniors,students,families with children",warszawa,2017,3751,180,0.04798720341242335,550000,96000,0.17454545454545456,0,0,0,0,0.6428571428571429,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.89984,0.9880890909090909,0.27972545454545455,0.9925672727272727,14,approval
1208,"Boisko do piłki ręcznej i koszykówki - Szkoła Podstawowa nr 53 im. Mariusza Zaruskiego","education,sport,health","children,youth,students",warszawa,2017,3751,135,0.035990402559317514,550000,523840,0.9524363636363636,0,0,0,0,0.6428571428571429,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.89984,0.9880890909090909,0.27972545454545455,0.9925672727272727,14,approval
1327,"Realizacja cyklów wydarzeń kulturalnych w sferze muzycznej, teatralnej, filmowej i oświatowej","education,culture","youth,adults,families with children",warszawa,2017,3751,116,0.030925086643561715,550000,93980,0.17087272727272726,0,0,0,0,0.6428571428571429,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.89984,0.9880890909090909,0.27972545454545455,0.9925672727272727,14,approval
1833,"Maczek I 1. Polska Dywizja Pancerna - ekspozycja muzealna","education,culture","youth,adults",warszawa,2017,3751,89,0.023727006131698213,550000,42063,0.07647818181818182,1,0,0,1,0.6428571428571429,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.89984,0.9880890909090909,0.27972545454545455,0.9925672727272727,14,approval
