"project id",name,category,target,city,year,"total number of votes","number of votes","popularity percentage","total budget",cost,"cost percentage","selected by phragmen","selected by greedy","selected by equal shares","selected by equal shares with greedy completion","percentage of phragmen selection","percentage of greedy selection","percentage of equalshares selection","percentage of equalshares selection with greedy completion","budget utilisation in phragmen","budget utilisation in utilitarian greedy","budget utilisation in equal shares","budget utilisation in equal shares with greedy completion","total number of projects","voting method"
2667,"Strefa rekreacji na Osiedlu Ruda","education,culture,sport","children,youth,adults",warszawa,2018,5520,815,0.14764492753623187,550000,341700,0.6212727272727273,0,1,0,0,0.7142857142857143,0.42857142857142855,0.5,0.7142857142857143,0.8969927272727273,0.9846654545454545,0.4306654545454545,0.8969927272727273,14,approval
2611,"Kocie oczka - światełka na pasach","public transit and roads,public space,health","children,youth",warszawa,2018,5520,634,0.11485507246376811,550000,30000,0.05454545454545454,1,1,1,1,0.7142857142857143,0.42857142857142855,0.5,0.7142857142857143,0.8969927272727273,0.9846654545454545,0.4306654545454545,0.8969927272727273,14,approval
1805,"Kulturalny Lelewel","education,culture,sport","youth,seniors,families with children",warszawa,2018,5520,499,0.09039855072463768,550000,33866,0.06157454545454545,1,1,1,1,0.7142857142857143,0.42857142857142855,0.5,0.7142857142857143,0.8969927272727273,0.9846654545454545,0.4306654545454545,0.8969927272727273,14,approval
1134,"Modernizacja boisk do siatkówki plażowej i udostępnienie ich bezpłatnie mieszkańcom","sport,health","youth,adults,students",warszawa,2018,5520,490,0.08876811594202899,550000,50000,0.09090909090909091,1,1,1,1,0.7142857142857143,0.42857142857142855,0.5,0.7142857142857143,0.8969927272727273,0.9846654545454545,0.4306654545454545,0.8969927272727273,14,approval
2706,"Siłownia plenerowa","sport,health","youth,adults,families with children",warszawa,2018,5520,442,0.08007246376811594,550000,50000,0.09090909090909091,1,1,1,1,0.7142857142857143,0.42857142857142855,0.5,0.7142857142857143,0.8969927272727273,0.9846654545454545,0.4306654545454545,0.8969927272727273,14,approval
1354,"Chodnikowa strefa kreatywnych gier","education,public space,sport","children,families with children",warszawa,2018,5520,440,0.07971014492753623,550000,36000,0.06545454545454546,1,1,1,1,0.7142857142857143,0.42857142857142855,0.5,0.7142857142857143,0.8969927272727273,0.9846654545454545,0.4306654545454545,0.8969927272727273,14,approval
839,"Kino pod chmurką","culture,public space","youth,adults,students",warszawa,2018,5520,413,0.07481884057971014,550000,20000,0.03636363636363636,1,0,1,1,0.7142857142857143,0.42857142857142855,0.5,0.7142857142857143,0.8969927272727273,0.9846654545454545,0.4306654545454545,0.8969927272727273,14,approval
1208,"Boisko wielofunkcyjne w SP 53","education,sport,health","children,youth,families with children",warszawa,2018,5520,406,0.07355072463768116,550000,108900,0.198,1,0,0,1,0.7142857142857143,0.42857142857142855,0.5,0.7142857142857143,0.8969927272727273,0.9846654545454545,0.4306654545454545,0.8969927272727273,14,approval
1833,"Budowa brakującego odcinka ścieżki rowerowej w ul. Rudzkiej od Hłaski do Łomiańskiej","public transit and roads","youth,adults,families with children",warszawa,2018,5520,360,0.06521739130434782,550000,132000,0.24,1,0,0,1,0.7142857142857143,0.42857142857142855,0.5,0.7142857142857143,0.8969927272727273,0.9846654545454545,0.4306654545454545,0.8969927272727273,14,approval
1131,"Modernizacja ogólnodostępnego kortu squash oraz zaplecza sanitarnego","sport,health","adults,seniors,students",warszawa,2018,5520,334,0.060507246376811596,550000,350000,0.6363636363636364,0,0,0,0,0.7142857142857143,0.42857142857142855,0.5,0.7142857142857143,0.8969927272727273,0.9846654545454545,0.4306654545454545,0.8969927272727273,14,approval
785,"Potańcówka na deskach w plenerze","culture,public space","youth,adults,families with children",warszawa,2018,5520,247,0.044746376811594206,550000,17000,0.03090909090909091,1,0,1,1,0.7142857142857143,0.42857142857142855,0.5,0.7142857142857143,0.8969927272727273,0.9846654545454545,0.4306654545454545,0.8969927272727273,14,approval
710,"Aranżacja przestrzeni przed wejściem do SP 53","public transit and roads,sport,health","children,youth,families with children",warszawa,2018,5520,207,0.0375,550000,165000,0.3,0,0,0,0,0.7142857142857143,0.42857142857142855,0.5,0.7142857142857143,0.8969927272727273,0.9846654545454545,0.4306654545454545,0.8969927272727273,14,approval
1327,"Tematyczna wystawa w gablotach","education,culture","youth,adults,students",warszawa,2018,5520,129,0.023369565217391305,550000,15580,0.02832727272727273,1,0,0,1,0.7142857142857143,0.42857142857142855,0.5,0.7142857142857143,0.8969927272727273,0.9846654545454545,0.4306654545454545,0.8969927272727273,14,approval
544,"Park rozrywki „FootGolf Park”","education,sport,health","youth,adults,families with children",warszawa,2018,5520,104,0.01884057971014493,550000,167900,0.30527272727272725,0,0,0,0,0.7142857142857143,0.42857142857142855,0.5,0.7142857142857143,0.8969927272727273,0.9846654545454545,0.4306654545454545,0.8969927272727273,14,approval
