0,voter_id,age,sex,voting_method,1,approval on project 2296,approval on project 2263,approval on project 1867,approval on project 2037,approval on project 518,approval on project 248,approval on project 1226,approval on project 2205
1,333,63,M,internet,1,1,1,1,0,1,1,1,1
2,898,28,F,internet,0,0,1,0,1,1,1,1,0
3,1307,21,M,internet,1,1,1,1,1,1,1,0,1
4,2155,34,F,internet,0,0,1,0,0,0,0,0,0
5,2558,30,F,internet,0,1,0,0,0,0,0,0,0
6,3054,32,M,internet,1,0,1,1,0,0,0,1,1
7,3232,66,F,internet,1,1,1,1,1,1,1,0,1
8,3523,33,M,internet,1,0,0,0,0,0,0,0,0
9,3874,81,M,internet,0,1,0,0,0,0,0,0,0
10,3892,48,F,internet,0,0,1,0,0,0,0,0,0
11,4099,46,F,internet,1,1,1,1,0,1,1,1,1
12,4576,55,F,internet,1,0,0,0,0,0,0,0,0
13,4625,23,F,internet,0,0,0,0,0,0,1,0,0
14,4713,42,M,internet,1,1,1,1,0,1,1,1,1
15,4770,47,F,internet,1,1,0,0,1,1,1,1,1
16,4875,34,F,internet,1,1,1,1,1,1,1,0,1
17,5139,22,F,internet,1,1,1,1,1,1,1,0,1
18,5428,42,F,internet,1,1,1,1,1,1,1,0,1
19,5445,75,M,internet,1,0,1,0,1,0,1,1,1
20,5735,61,F,internet,0,0,0,0,1,0,0,0,0
21,6119,57,F,internet,1,1,0,0,0,0,0,0,0
22,6123,45,F,internet,0,0,0,0,0,0,0,1,0
23,6243,46,M,internet,1,1,1,1,1,1,1,0,1
24,6272,25,M,internet,1,0,1,1,0,1,1,1,0
25,6739,31,M,internet,1,1,0,0,1,1,1,1,1
26,6746,39,F,internet,1,1,0,0,1,1,1,1,1
27,6755,51,F,internet,1,0,1,0,1,1,1,1,0
28,6994,68,F,internet,0,0,1,1,0,0,0,0,0
29,7005,68,M,internet,1,1,1,1,0,0,0,1,0
30,7790,34,M,internet,1,1,1,1,1,1,1,0,0
31,7818,37,F,internet,1,1,1,1,0,1,1,1,1
32,7843,31,F,internet,1,1,1,0,0,0,0,0,0
33,8645,57,M,internet,1,0,0,0,0,0,0,0,0
34,9230,33,M,internet,0,0,0,0,1,0,0,0,0
35,9314,47,F,internet,1,1,1,1,1,1,1,0,1
36,9444,29,F,internet,1,1,1,1,1,1,1,0,0
37,9594,28,M,internet,0,0,0,0,1,0,0,0,0
38,9662,39,M,internet,1,1,1,1,1,1,1,0,1
39,10043,44,F,internet,1,1,0,1,1,0,0,0,0
40,10145,34,F,internet,1,1,0,1,1,0,0,0,0
41,10209,6,F,internet,0,0,0,0,0,0,0,1,0
42,10211,43,F,internet,0,0,0,0,0,0,0,1,0
43,10718,66,M,internet,0,0,0,0,1,0,0,0,0
44,10750,64,F,internet,0,1,0,0,0,0,0,0,0
45,10948,44,M,internet,1,0,1,1,0,0,0,0,1
46,11074,44,F,internet,1,1,1,1,1,1,1,0,1
47,11173,34,F,internet,0,0,0,0,0,1,1,0,0
48,11322,18,M,internet,1,1,1,1,1,1,1,0,1
49,11328,35,M,internet,0,0,0,0,1,1,1,0,0
50,11697,26,M,internet,1,0,1,0,1,1,1,0,0
51,11728,32,M,internet,0,1,0,1,1,0,1,1,0
52,11811,27,F,internet,1,0,0,0,1,0,0,0,0
53,11827,42,F,internet,0,1,0,1,1,0,1,1,0
54,11829,32,M,internet,0,0,0,0,0,0,0,0,1
55,11863,55,F,internet,1,0,1,0,1,1,1,1,0
56,11944,34,M,internet,0,1,0,0,0,0,0,0,0
57,11973,63,F,internet,1,0,0,0,0,0,0,0,0
58,12016,52,M,internet,0,0,0,0,1,0,0,0,0
59,12141,27,F,internet,1,1,1,1,1,1,1,0,0
60,12151,31,M,internet,0,1,0,0,1,0,0,0,0
61,12213,24,M,internet,0,1,0,0,0,1,1,1,0
62,12238,44,F,internet,0,0,0,0,0,1,1,1,0
63,12267,14,F,internet,0,0,0,0,0,1,1,1,0
64,12386,49,M,internet,0,0,0,0,1,0,0,0,0
65,12489,35,F,internet,0,0,0,0,1,0,0,0,0
66,12512,71,M,internet,0,0,0,0,1,0,0,0,0
67,12525,68,F,internet,1,1,1,1,1,1,1,0,1
68,12547,42,F,internet,0,0,0,0,0,1,0,1,0
69,12560,18,M,internet,1,1,0,1,0,1,1,1,1
70,12680,66,F,internet,0,0,0,0,1,1,0,0,0
71,12723,32,M,internet,1,0,1,0,1,1,0,1,0
72,12753,35,M,internet,1,1,1,0,1,0,0,1,0
73,12769,35,F,internet,1,1,1,1,0,1,1,1,1
74,12777,69,M,internet,1,1,1,1,0,1,1,1,1
75,12841,18,F,internet,1,1,1,1,0,1,1,1,1
76,12911,95,F,internet,0,1,1,0,1,1,1,1,1
77,12948,62,F,internet,0,0,0,0,1,0,0,0,0
78,13103,38,F,internet,0,1,0,0,0,0,0,0,0
79,13202,52,F,internet,1,1,1,0,0,1,0,1,1
80,13256,29,M,internet,0,0,0,0,0,0,0,1,0
81,13313,39,M,internet,0,1,0,0,0,0,0,0,0
82,13397,39,F,internet,1,1,1,1,0,1,1,1,1
83,13638,49,F,internet,0,1,0,0,1,1,1,1,0
84,13949,39,M,internet,1,1,1,1,1,1,1,0,1
85,14159,42,F,internet,1,1,0,0,0,0,0,0,0
86,14567,32,F,internet,0,1,0,0,0,0,0,0,0
87,14933,29,F,internet,1,1,1,1,1,1,1,0,1
88,15101,41,M,internet,1,1,1,1,1,1,1,0,1
89,15114,47,F,internet,0,1,0,0,0,0,0,0,0
90,15511,54,M,internet,1,1,1,1,1,1,1,0,0
91,15560,34,M,internet,1,1,1,1,0,0,0,0,1
92,15636,40,F,internet,0,0,0,0,1,0,0,0,0
93,15720,33,F,internet,1,1,1,1,0,0,0,0,0
94,15729,31,F,internet,1,1,1,1,0,1,1,1,1
95,15738,40,M,internet,1,1,1,1,0,0,0,0,0
96,15753,1,F,internet,1,1,1,0,1,1,0,0,0
97,15814,27,M,internet,0,1,0,0,1,0,1,0,0
98,15941,27,M,internet,0,0,0,0,1,0,0,0,0
99,16085,61,F,internet,0,1,0,0,0,0,0,0,0
100,16110,52,F,internet,0,1,0,0,0,0,0,0,0
101,16303,43,F,internet,0,0,0,0,1,0,0,0,0
102,16465,35,M,internet,0,1,0,1,1,0,0,1,0
103,16649,32,M,internet,1,1,0,0,1,1,1,1,1
104,16875,83,F,internet,0,0,0,0,1,0,0,0,0
105,17024,35,M,internet,0,0,0,0,1,1,0,0,0
106,17347,27,F,internet,0,1,0,0,0,0,0,0,0
107,17413,82,M,internet,1,1,1,1,0,0,0,0,1
108,17450,65,F,internet,1,1,1,0,0,0,0,0,0
109,17519,22,F,internet,0,1,0,1,1,1,0,1,0
110,17632,21,M,internet,1,1,1,1,1,1,1,0,0
111,17665,42,F,internet,0,0,0,0,1,0,0,0,0
112,17668,34,M,internet,0,1,0,1,0,0,0,0,0
113,17673,40,M,internet,0,1,0,0,1,0,0,0,0
114,17722,59,M,internet,1,0,0,0,0,0,0,0,0
115,17798,34,F,internet,1,0,0,0,0,0,0,0,0
116,17889,37,F,internet,1,0,1,0,1,0,0,0,0
117,17944,52,M,internet,1,1,1,1,0,1,1,1,1
