project id,name,category,target,city,year,total number of votes,number of votes,popularity percentage,total budget,cost,cost percentage,selected by phragmen,utility,selected by greedy,selected by equal shares,selected by equal shares with greedy completion,selection fraction,percentage of phragmen selection,percentage of greedy selection,percentage of equalshares selection,percentage of equalshares selection with greedy completion,budget utilisation in phragmen,budget utilisation in utilitarian greedy,budget utilisation in equal shares,budget utilisation in equal shares with greedy completion,total number of projects,voting method
1024,Trampoliny ziemne w ursynowskich parkach i przy placach zabaw,"public space,sport,urban greenery","adults,families with children",ursynow,2019,100346,3216,0.0320491100791262,2000000,175000,0.0875,1,54.415,1,1,1,0.833,0.758620689655172,0.310344827586207,0.637931034482759,0.655172413793103,0.989659,0.999543,0.6724115,0.9974115,58,approval
1061,Świąteczna iluminacja z prawdziwego zdarzenia - aleja KEN pięknie oświetlona na święta Bożego Narodzenia,"public transit and roads,culture,public space","adults,families with children",ursynow,2019,100346,3094,0.0308333167241345,2000000,149000,0.0745,1,48.158,1,1,1,0.833,0.758620689655172,0.310344827586207,0.637931034482759,0.655172413793103,0.989659,0.999543,0.6724115,0.9974115,58,approval
1034,"Tulipany i inne rośliny cebulowe w ursynowskich parkach, szkołach i przedszkolach","environmental protection,public space,urban greenery","seniors,families with children",ursynow,2019,100346,2612,0.0260299364199868,2000000,102600,0.0513,1,39.28,1,1,1,0.833,0.758620689655172,0.310344827586207,0.637931034482759,0.655172413793103,0.989659,0.999543,0.6724115,0.9974115,58,approval
210,Przebudowa drogi rowerowej wzdłuż Alei Kasztanowej,"public transit and roads,environmental protection,sport","children,youth,adults",ursynow,2019,100346,2510,0.0250134534510593,2000000,650000,0.325,0,258.96,0,0,0,0.167,0.758620689655172,0.310344827586207,0.637931034482759,0.655172413793103,0.989659,0.999543,0.6724115,0.9974115,58,approval
635,Bezpłatne seanse filmowe dla dzieci,culture,families with children,ursynow,2019,100346,2504,0.0249536603352401,2000000,110180,0.05509,1,44,1,1,1,0.833,0.758620689655172,0.310344827586207,0.637931034482759,0.655172413793103,0.989659,0.999543,0.6724115,0.9974115,58,approval
264,Park motyli - kolorowa kraina edukacyjno-rekreacyjna dla dzieci i dorosłych oraz grup przedszkolnych i szkolnych,"education,culture,environmental protection","children,families with children",ursynow,2019,100346,2467,0.0245849361210213,2000000,257030,0.128515,0,104.187,1,0,0,0.334,0.758620689655172,0.310344827586207,0.637931034482759,0.655172413793103,0.989659,0.999543,0.6724115,0.9974115,58,approval
300,Samoobrona dla kobiet i przeciwdziałanie przemocy rówieśniczej,"education,sport","children,youth",ursynow,2019,100346,2438,0.0242959360612282,2000000,131100,0.06555,1,53.78,1,1,1,0.833,0.758620689655172,0.310344827586207,0.637931034482759,0.655172413793103,0.989659,0.999543,0.6724115,0.9974115,58,approval
346,Biblioboxy - całodobowe wrzutki na książki przy Bibliotekach na Ursynowie,"education,culture,public space","children,youth,adults",ursynow,2019,100346,2190,0.0218244872740318,2000000,120000,0.06,0,54.79,0,1,0,0.334,0.758620689655172,0.310344827586207,0.637931034482759,0.655172413793103,0.989659,0.999543,0.6724115,0.9974115,58,approval
1806,Pikniki edukacyjne w parkach Ursynowa - nowoczesne technologie i bezpieczeństwo,"education,health","youth,seniors,families with children",ursynow,2019,100346,1790,0.0178382795527475,2000000,235200,0.1176,0,,0,0,0,0.167,0.758620689655172,0.310344827586207,0.637931034482759,0.655172413793103,0.989659,0.999543,0.6724115,0.9974115,58,approval
1644,Ursynowski CzteroPark Muzyczny,"education,culture,public space","adults,seniors,families with children",ursynow,2019,100346,1591,0.0158551412114085,2000000,252000,0.126,0,,0,0,0,0.167,0.758620689655172,0.310344827586207,0.637931034482759,0.655172413793103,0.989659,0.999543,0.6724115,0.9974115,58,approval
,,,,,,,,,954900,2182110,,,,,,,,,,,,,,,,,
