election_id,project_id,cost,name,score,latitude,longitude,target,category,district,selection_p,selection_u,selection_e,selection_eu
1,659,20000,"Ursynowski szlak rowerowy",None,None,None,"children,youth,adults","education,culture,health","None",1,1,1,1
1,1024,175000,"Trampoliny ziemne w ursynowskich parkach i przy placach zabaw",None,None,None,"adults,families with children","public space,sport,urban greenery","None",1,1,1,1
1,1061,149000,"Świąteczna iluminacja z prawdziwego zdarzenia - aleja KEN pięknie oświetlona na święta Bożego Narodzenia",None,None,None,"adults,families with children","public transit and roads,culture,public space","None",1,1,1,1
1,344,39800,"Kino pod chmurką",None,None,None,"youth,adults","culture","None",1,1,1,1
1,1106,4650,"System oszczędnego oświetlenia dla wybranych plenerowych obiektów sportowych na Ursynowie",None,None,None,"children,youth,adults","environmental protection,public space,sport","None",1,1,1,1
1,1556,39000,"Niedzielny targ zdrowej żywności na parkingu przy Ratuszu Dzielnicy (wiosna-lato-jesień)",None,None,None,"adults,seniors,families with children","public space","None",1,1,1,1
1,1034,102600,"Tulipany i inne rośliny cebulowe w ursynowskich parkach, szkołach i przedszkolach",None,None,None,"seniors,families with children","environmental protection,public space,urban greenery","None",1,1,1,1
1,210,650000,"Przebudowa drogi rowerowej wzdłuż Alei Kasztanowej",None,None,None,"children,youth,adults","public transit and roads,environmental protection,sport","None",0,1,0,1
1,635,110180,"Bezpłatne seanse filmowe dla dzieci",None,None,None,"families with children","culture","None",1,1,1,1
1,264,257030,"Park motyli - kolorowa kraina edukacyjno-rekreacyjna dla dzieci i dorosłych oraz grup przedszkolnych i szkolnych",None,None,None,"children,families with children","education,culture,environmental protection","None",0,1,0,0
1,300,131100,"Samoobrona dla kobiet i przeciwdziałanie przemocy rówieśniczej",None,None,None,"children,youth","education,sport","None",1,1,0,0
1,643,22600,"Komunikacja bez przemocy w ursynowskich szkołach",None,None,None,"children,youth","education","None",1,1,1,1
1,349,60665,"Bezpłatne seanse filmowe dla dorosłych",None,None,None,"adults,seniors,students","culture","None",1,1,1,1
1,346,120000,"Biblioboxy - całodobowe wrzutki na książki przy Bibliotekach na Ursynowie",None,None,None,"children,youth,adults","education,culture,public space","None",1,1,0,0
1,1967,7000,"Naturalnie powstające łąki - ograniczenie koszenia na rzecz obniżenia kosztów i podwyższenia wartości przyrodniczej",None,None,None,"families with children","environmental protection","None",1,1,1,1
1,1027,43500,"Kurs pierwszej pomocy",None,None,None,"youth,adults","education,health","None",1,1,1,1
1,1010,50800,"Ursynowska Ratuszowa Wyprzedaż Garażowa - wyprzedaże garażowe na Ursynowie",None,None,None,"seniors,families with children","education,culture","None",1,1,1,1
1,1110,16161,"Obywatele Ursynowa wiedzą, jak głosują radni - zakup elektronicznego systemu do jawnych głosowań w Radzie Dzielnicy",None,None,None,"youth,adults","education","None",1,1,1,1
1,2257,3900,"Kamera w ptasim gnieździe",None,None,None,"children,youth,adults","education,environmental protection","None",1,0,1,1
1,1072,15000,"Planszówka dla każdego - zakup ciekawych gier planszowych do ursynowskich bibliotek z możliwością wypożyczenia do domu",None,None,None,"seniors,families with children","education,culture","None",1,0,1,1
1,2209,150000,"Ursynowskie potańcówki z muzyką na żywo",None,None,None,"None","education,culture,health","None",0,0,0,0
1,1551,14900,"Kamery monitorujące on-line paśnik w Lesie Kabackim w paśmie widzialnym i nocnym",None,None,None,"adults,seniors","public space","None",1,0,1,1
1,1432,127500,"Wygodnie i bez konfliktów między pasażerami i rowerzystami na przystanku Dolina Służewiecka 01",None,None,None,"children,youth,adults","public transit and roads,public space","None",0,0,0,0
1,1534,6800,"Stop Smog - kampania edukacyjna jak przeciwdziałać, jak się chronić",None,None,None,"children,seniors,families with children","environmental protection","None",1,0,1,1
1,985,9000,"Ursynów - naturalnie! Wielopokoleniowe spacery po ursynowskich rezerwatach i pomnikach przyrody",None,None,None,"None","environmental protection,public space,urban greenery","None",1,0,1,1
1,1531,1000,"Naklejki edukacyjne o pierwszej pomocy na schodach w Urzędzie Dzielnicy",None,None,None,"children,seniors,families with children","education,public space","None",1,0,1,1
1,1806,235200,"Pikniki edukacyjne w parkach Ursynowa - nowoczesne technologie i bezpieczeństwo",None,None,None,"youth,seniors,families with children","education,health","None",0,0,0,0
1,637,42000,"„Przygodowy plac zabaw – zajęcia na otwartym terenie",None,None,None,"children","education,public space","None",1,0,1,1
1,184,67500,"Cykl przedstawień w Parku Kultury w Powsinie",None,None,None,"children,families with children","education,culture","None",1,0,1,1
1,1075,75000,"Kolejne 5000 krzewów i pnączy rozdanych mieszkańcom do zasadzenia",None,None,None,"children,seniors,families with children","environmental protection","None",1,0,1,1
1,1573,78500,"Elektroniczna tablica informacyjna na Urzędzie Dzielnicy Ursynów",None,None,None,"children,seniors,families with children","public space,health","None",1,0,0,0
1,1644,252000,"Ursynowski CzteroPark Muzyczny",None,None,None,"adults,seniors,families with children","education,culture,public space","None",0,0,0,0
1,1115,7300,"Kontraruch rowerowy na parkingu przy Ratuszu wraz z wjazdem od KEN",None,None,None,"None","public transit and roads,public space","None",1,0,1,1
1,639,25650,"Mali przyrodnicy - warsztaty w plenerze",None,None,None,"children,families with children","education,environmental protection","None",1,0,1,1
