project id,name,category,target,city,year,total number of votes,number of votes,popularity percentage,total budget,cost,cost percentage,selected by phragmen,selected by greedy,selected by equal shares,selected by equal shares with greedy completion,percentage of phragmen selection,percentage of greedy selection,percentage of equalshares selection,percentage of equalshares selection with greedy completion,budget utilisation in phragmen,budget utilisation in utilitarian greedy,budget utilisation in equal shares,budget utilisation in equal shares with greedy completion,total number of projects,voting method
659,Ursynowski szlak rowerowy,"education,culture,health","children,youth,adults",ursynow,2019,100346,3349,0.0333745241464533,2000000,20000,0.01,1,1,1,1,0.758620689655172,0.310344827586207,0.637931034482759,0.655172413793103,0.989659,0.999543,0.6724115,0.9974115,58,approval
1024,Trampoliny ziemne w ursynowskich parkach i przy placach zabaw,"public space,sport,urban greenery","adults,families with children",ursynow,2019,100346,3216,0.0320491100791262,2000000,175000,0.0875,1,1,1,1,0.758620689655172,0.310344827586207,0.637931034482759,0.655172413793103,0.989659,0.999543,0.6724115,0.9974115,58,approval
1061,Świąteczna iluminacja z prawdziwego zdarzenia - aleja KEN pięknie oświetlona na święta Bożego Narodzenia,"public transit and roads,culture,public space","adults,families with children",ursynow,2019,100346,3094,0.0308333167241345,2000000,149000,0.0745,1,1,1,1,0.758620689655172,0.310344827586207,0.637931034482759,0.655172413793103,0.989659,0.999543,0.6724115,0.9974115,58,approval
344,Kino pod chmurką,culture,"youth,adults",ursynow,2019,100346,2950,0.0293982819444721,2000000,39800,0.0199,1,1,1,1,0.758620689655172,0.310344827586207,0.637931034482759,0.655172413793103,0.989659,0.999543,0.6724115,0.9974115,58,approval
1106,System oszczędnego oświetlenia dla wybranych plenerowych obiektów sportowych na Ursynowie,"environmental protection,public space,sport","children,youth,adults",ursynow,2019,100346,2808,0.0279831782034162,2000000,4650,0.002325,1,1,1,1,0.758620689655172,0.310344827586207,0.637931034482759,0.655172413793103,0.989659,0.999543,0.6724115,0.9974115,58,approval
1556,Niedzielny targ zdrowej żywności na parkingu przy Ratuszu Dzielnicy (wiosna-lato-jesień),public space,"adults,seniors,families with children",ursynow,2019,100346,2758,0.0274849022382556,2000000,39000,0.0195,1,1,1,1,0.758620689655172,0.310344827586207,0.637931034482759,0.655172413793103,0.989659,0.999543,0.6724115,0.9974115,58,approval
1034,"Tulipany i inne rośliny cebulowe w ursynowskich parkach, szkołach i przedszkolach","environmental protection,public space,urban greenery","seniors,families with children",ursynow,2019,100346,2612,0.0260299364199868,2000000,102600,0.0513,1,1,1,1,0.758620689655172,0.310344827586207,0.637931034482759,0.655172413793103,0.989659,0.999543,0.6724115,0.9974115,58,approval
210,Przebudowa drogi rowerowej wzdłuż Alei Kasztanowej,"public transit and roads,environmental protection,sport","children,youth,adults",ursynow,2019,100346,2510,0.0250134534510593,2000000,650000,0.325,0,1,0,1,0.758620689655172,0.310344827586207,0.637931034482759,0.655172413793103,0.989659,0.999543,0.6724115,0.9974115,58,approval
635,Bezpłatne seanse filmowe dla dzieci,culture,families with children,ursynow,2019,100346,2504,0.0249536603352401,2000000,110180,0.05509,1,1,1,1,0.758620689655172,0.310344827586207,0.637931034482759,0.655172413793103,0.989659,0.999543,0.6724115,0.9974115,58,approval
264,Park motyli - kolorowa kraina edukacyjno-rekreacyjna dla dzieci i dorosłych oraz grup przedszkolnych i szkolnych,"education,culture,environmental protection","children,families with children",ursynow,2019,100346,2467,0.0245849361210213,2000000,257030,0.128515,0,1,0,0,0.758620689655172,0.310344827586207,0.637931034482759,0.655172413793103,0.989659,0.999543,0.6724115,0.9974115,58,approval
300,Samoobrona dla kobiet i przeciwdziałanie przemocy rówieśniczej,"education,sport","children,youth",ursynow,2019,100346,2438,0.0242959360612282,2000000,131100,0.06555,1,1,0,0,0.758620689655172,0.310344827586207,0.637931034482759,0.655172413793103,0.989659,0.999543,0.6724115,0.9974115,58,approval
643,Komunikacja bez przemocy w ursynowskich szkołach,education,"children,youth",ursynow,2019,100346,2255,0.0224722460287406,2000000,22600,0.0113,1,1,1,1,0.758620689655172,0.310344827586207,0.637931034482759,0.655172413793103,0.989659,0.999543,0.6724115,0.9974115,58,approval
349,Bezpłatne seanse filmowe dla dorosłych,culture,"adults,seniors,students",ursynow,2019,100346,2249,0.0224124529129213,2000000,60665,0.0303325,1,1,1,1,0.758620689655172,0.310344827586207,0.637931034482759,0.655172413793103,0.989659,0.999543,0.6724115,0.9974115,58,approval
346,Biblioboxy - całodobowe wrzutki na książki przy Bibliotekach na Ursynowie,"education,culture,public space","children,youth,adults",ursynow,2019,100346,2190,0.0218244872740318,2000000,120000,0.06,1,1,0,0,0.758620689655172,0.310344827586207,0.637931034482759,0.655172413793103,0.989659,0.999543,0.6724115,0.9974115,58,approval
1967,Naturalnie powstające łąki - ograniczenie koszenia na rzecz obniżenia kosztów i podwyższenia wartości przyrodniczej,environmental protection,families with children,ursynow,2019,100346,2163,0.0215554182528452,2000000,7000,0.0035,1,1,1,1,0.758620689655172,0.310344827586207,0.637931034482759,0.655172413793103,0.989659,0.999543,0.6724115,0.9974115,58,approval
1027,Kurs pierwszej pomocy,"education,health","youth,adults",ursynow,2019,100346,2127,0.0211966595579296,2000000,43500,0.02175,1,1,1,1,0.758620689655172,0.310344827586207,0.637931034482759,0.655172413793103,0.989659,0.999543,0.6724115,0.9974115,58,approval
1010,Ursynowska Ratuszowa Wyprzedaż Garażowa - wyprzedaże garażowe na Ursynowie,"education,culture","seniors,families with children",ursynow,2019,100346,2061,0.0205389352839176,2000000,50800,0.0254,1,1,1,1,0.758620689655172,0.310344827586207,0.637931034482759,0.655172413793103,0.989659,0.999543,0.6724115,0.9974115,58,approval
1110,"Obywatele Ursynowa wiedzą, jak głosują radni - zakup elektronicznego systemu do jawnych głosowań w Radzie Dzielnicy",education,"youth,adults",ursynow,2019,100346,2059,0.0205190042453112,2000000,16161,0.0080805,1,1,1,1,0.758620689655172,0.310344827586207,0.637931034482759,0.655172413793103,0.989659,0.999543,0.6724115,0.9974115,58,approval
2257,Kamera w ptasim gnieździe,"education,environmental protection","children,youth,adults",ursynow,2019,100346,1952,0.0194526936798677,2000000,3900,0.00195,1,0,1,1,0.758620689655172,0.310344827586207,0.637931034482759,0.655172413793103,0.989659,0.999543,0.6724115,0.9974115,58,approval
1072,Planszówka dla każdego - zakup ciekawych gier planszowych do ursynowskich bibliotek z możliwością wypożyczenia do domu,"education,culture","seniors,families with children",ursynow,2019,100346,1949,0.019422797121958,2000000,15000,0.0075,1,0,1,1,0.758620689655172,0.310344827586207,0.637931034482759,0.655172413793103,0.989659,0.999543,0.6724115,0.9974115,58,approval
2209,Ursynowskie potańcówki z muzyką na żywo,"education,culture,health",None,ursynow,2019,100346,1927,0.0192035556972874,2000000,150000,0.075,0,0,0,0,0.758620689655172,0.310344827586207,0.637931034482759,0.655172413793103,0.989659,0.999543,0.6724115,0.9974115,58,approval
1551,Kamery monitorujące on-line paśnik w Lesie Kabackim w paśmie widzialnym i nocnym,public space,"adults,seniors",ursynow,2019,100346,1918,0.0191138660235585,2000000,14900,0.00745,1,0,1,1,0.758620689655172,0.310344827586207,0.637931034482759,0.655172413793103,0.989659,0.999543,0.6724115,0.9974115,58,approval
1432,Wygodnie i bez konfliktów między pasażerami i rowerzystami na przystanku Dolina Służewiecka 01,"public transit and roads,public space","children,youth,adults",ursynow,2019,100346,1916,0.0190939349849521,2000000,127500,0.06375,0,0,0,0,0.758620689655172,0.310344827586207,0.637931034482759,0.655172413793103,0.989659,0.999543,0.6724115,0.9974115,58,approval
1534,"Stop Smog - kampania edukacyjna jak przeciwdziałać, jak się chronić",environmental protection,"children,seniors,families with children",ursynow,2019,100346,1902,0.0189544177147071,2000000,6800,0.0034,1,0,1,1,0.758620689655172,0.310344827586207,0.637931034482759,0.655172413793103,0.989659,0.999543,0.6724115,0.9974115,58,approval
985,Ursynów - naturalnie! Wielopokoleniowe spacery po ursynowskich rezerwatach i pomnikach przyrody,"environmental protection,public space,urban greenery",None,ursynow,2019,100346,1803,0.0179678313036892,2000000,9000,0.0045,1,0,1,1,0.758620689655172,0.310344827586207,0.637931034482759,0.655172413793103,0.989659,0.999543,0.6724115,0.9974115,58,approval
