"project id",name,category,target,city,year,"total number of votes","number of votes","popularity percentage","total budget",cost,"cost percentage","selected by phragmen","selected by greedy","selected by equal shares","selected by equal shares with greedy completion","percentage of phragmen selection","percentage of greedy selection","percentage of equalshares selection","percentage of equalshares selection with greedy completion","budget utilisation in phragmen","budget utilisation in utilitarian greedy","budget utilisation in equal shares","budget utilisation in equal shares with greedy completion","total number of projects","voting method"
244,"Drzewa i krzewy wzdłuż al. KEN","public transit and roads,public space,sport","children,youth,adults",ursynow,2020,114796,2954,0.025732603923481655,4986682,199000,0.03990629440577923,1,1,1,1,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
1752,"Uratujmy wróble i inne ptaki - 150 nowych budek dla ptaków","education,environmental protection,public space","children,youth,adults,seniors,people with disabilities",ursynow,2020,114796,2845,0.024783093487577963,4986682,12750,0.0025568103199682677,1,1,1,1,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
1881,"Zielone skwery na Ursynowie","environmental protection,public space,urban greenery","children,youth,adults,seniors,people with disabilities",ursynow,2020,114796,2783,0.024243004982752014,4986682,238445,0.047816363666261456,1,1,1,1,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
651,"Doświetlenie przejść dla pieszych na Ursynowie","public transit and roads","children,youth,adults,seniors,people with disabilities",ursynow,2020,114796,2556,0.022265584166695704,4986682,996000,0.19973200617163878,0,1,0,1,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
128,"Przebudowa drogi rowerowej wzdłuż al. KEN","public transit and roads,sport","children,youth,adults,seniors,people with disabilities",ursynow,2020,114796,2528,0.02202167322903237,4986682,455000,0.09124303494788719,0,1,0,1,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
1648,"Ursynów bez barier - zlikwidujmy wysokie krawężniki","public transit and roads,public space","children,youth,adults,seniors,people with disabilities",ursynow,2020,114796,2312,0.020140074567058085,4986682,90000,0.01804807284683483,1,1,1,1,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
1736,"Posadźmy drzewa i krzewy przy ul. Rosoła i ul. Relaksowej- kompleksowo","public transit and roads,environmental protection,public space","children,youth,adults,seniors,people with disabilities",ursynow,2020,114796,2161,0.018824697724659396,4986682,324780,0.06512947887994462,1,1,0,0,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
1916,"Kurtyny wodne w parkach - otwartych przestrzeniach na Ursynowie","public space,sport,urban greenery","children,youth,adults,seniors,people with disabilities",ursynow,2020,114796,2101,0.01830203142966654,4986682,69296,0.013896213955491848,1,1,1,1,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
915,"Modernizacja drogi rowerowej wzdłuż ul. Belgradzkiej na odcinku od al. KEN do ul. Rosoła","public transit and roads,sport","children,youth,adults,seniors,people with disabilities",ursynow,2020,114796,2021,0.01760514303634273,4986682,822500,0.16493933240579609,0,1,0,0,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
1844,"Ratujmy drzewa poprzez zakup worków nawadniających - podlewających drzewa","environmental protection,public space,urban greenery","children,youth,adults,seniors,people with disabilities",ursynow,2020,114796,2000,0.01742220983309523,4986682,40000,0.008021365709704369,1,1,1,1,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
745,"Uczta dla ptaków, czyli nasadzenia jarzębin,grusz i kalin, przy ulicy Jeżewskiego","environmental protection,public space,urban greenery","children,youth,adults,seniors,people with disabilities",ursynow,2020,114796,1932,0.01682985469876999,4986682,35000,0.007018694995991322,1,1,1,1,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
243,"Łączymy parki: Park Jana Pawła II - Olkówek - Park Romana Kozłowskiego","environmental protection,public space,urban greenery","children,youth,adults,seniors,people with disabilities",ursynow,2020,114796,1908,0.01662078818077285,4986682,227900,0.04570173113104064,1,1,1,1,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
843,"Stworzenie na Ursynowie sztucznych miejsc lęgowych dla jaskółek oknówek","environmental protection,public space,urban greenery","children,youth,adults,seniors",ursynow,2020,114796,1837,0.016002299731697967,4986682,100000,0.02005341427426092,1,1,1,1,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
1497,"Zielona Oś Ursynowa - nowy park","public space,urban greenery","children,adults,seniors",ursynow,2020,114796,1772,0.015436077912122374,4986682,765000,0.15340861919809604,0,1,0,0,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
286,"Kino pod chmurką – pokazy filmowe przed Dzielnicowym Ośrodkiem Kultury Ursynów","culture","youth,adults",ursynow,2020,114796,1750,0.015244433603958326,4986682,40000,0.008021365709704369,1,1,1,1,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
276,"Muzyczne niedziele na Ursynowie - koncerty fortepianowe muzyki klasycznej","education,culture","children,youth,adults,seniors,people with disabilities",ursynow,2020,114796,1680,0.014634656259799993,4986682,184500,0.0369985493360114,1,1,1,1,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
1363,"Zazieleńmy al. Komisji Edukacji Narodowej – reprezentatywną ulicę Ursynowa","environmental protection,public space,urban greenery","children,youth,adults,seniors,people with disabilities",ursynow,2020,114796,1660,0.01446043416146904,4986682,30000,0.006016024282278276,1,1,1,1,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
1943,"Kolejne 3000 krzewów i pnączy rozdanych do posadzenia mieszkańcom na terenie Dzielnicy Ursynów","environmental protection","seniors",ursynow,2020,114796,1648,0.01435590090247047,4986682,125000,0.025066767842826153,1,1,1,1,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
269,"Piękne kwiaty i krzewy na ulicach Ursynowa - dotleniające powietrze oraz chroniące przed komarami i kleszczami","environmental protection,urban greenery","children,youth,adults,seniors,people with disabilities",ursynow,2020,114796,1611,0.014033590020558208,4986682,97500,0.0195520789174044,1,1,1,1,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
2101,"Poidełka z wodą na zewnątrz dla ludzi i zwierząt","environmental protection,welfare","children,youth,adults,seniors,people with disabilities",ursynow,2020,114796,1601,0.013946478971392732,4986682,530400,0.10636330931067993,0,0,0,0,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
1411,"Hirszfelda 1 okolice Areny Ursynów, skwer Górka Rogala dla wszystkich - teren rekreacyjny","public space,sport,urban greenery","seniors,people with disabilities,families with children",ursynow,2020,114796,1547,0.01347607930589916,4986682,770000,0.1544112899118091,0,0,0,0,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
1567,"Samoobrona dla kobiet i warsztaty przeciwdziałania przemocy rówieśniczej dla uczniów","education,welfare,sport","children,youth,adults",ursynow,2020,114796,1521,0.013249590578068923,4986682,148640,0.029807394977261432,1,0,1,1,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
1184,"Niedzielne Targi Zdrowej Żywności na parkingu przy Ratuszu Dzielnicy (wiosna-lato-jesień)","public space","children,youth,adults,seniors",ursynow,2020,114796,1518,0.013223457263319279,4986682,70000,0.014037389991982644,1,1,1,1,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
746,"Ścianki wspinaczkowe na Ursynowie (w parku Lasek Brzozowy i przy metrze Imielin)","sport","children,youth,adults",ursynow,2020,114796,1517,0.013214746158402731,4986682,260000,0.052138877113078394,0,0,0,0,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
196,"Stop upałom - ekologiczne kurtyny mgiełkowe obniżające znacząco temperaturę otoczenia","environmental protection,public space,sport","children,youth,adults,seniors,people with disabilities",ursynow,2020,114796,1503,0.013092790689571065,4986682,535214,0.10732868067384285,0,0,0,0,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
259,"Jurajski plac zabaw – niech dinozaury dalej cieszą dzieci. Modernizacja nawierzchni placu zabaw","public space","children",ursynow,2020,114796,1466,0.012770479807658804,4986682,990000,0.19852880131518313,0,0,0,0,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
1191,"Pas krzewów i bylin wzdłuż Aleji Komisji Edukacji Narodowej - odcinek ul Gandhi - Płaskowickiej","environmental protection,public space,urban greenery","children,youth,adults,seniors",ursynow,2020,114796,1446,0.012596257709327851,4986682,38930,0.007806794176969777,1,1,1,1,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
127,"Przedłużenie Parku Przy Bażantarni po drugiej stronie al. KEN","public transit and roads,public space,sport","children,youth,adults,seniors",ursynow,2020,114796,1427,0.012430746715913446,4986682,65000,0.013034719278269599,1,0,1,1,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
1501,"Wygodne przesiadki - przebudowa przystanku przy metrze Imielin","public transit and roads,public space,urban greenery","adults,seniors,people with disabilities",ursynow,2020,114796,1423,0.012395902296247256,4986682,193293,0.03876184605314716,1,0,0,0,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
1643,"Ursynowska ratuszowa wyprzedaż garażowa - 12 garażówek","education,culture,environmental protection","children,youth,adults,seniors,people with disabilities",ursynow,2020,114796,1418,0.012352346771664517,4986682,60000,0.012032048564556553,1,0,1,1,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
1921,"Murale metra - pociąg do sztuki (kontynuacja)","culture,public space","children,youth,adults,seniors,people with disabilities",ursynow,2020,114796,1356,0.011812258266838566,4986682,25000,0.00501335356856523,1,1,1,1,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
1103,"Bezpłatne zajęcia dla dzieci od 3 do 18 lat w Dzielnicowym Ośrodku Kultury Ursynów","education,culture","children,youth,adults",ursynow,2020,114796,1346,0.01172514721767309,4986682,174395,0.034972151823597336,1,0,0,0,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
579,"Naturalny labirynt sensoryczny","education,sport,urban greenery","children",ursynow,2020,114796,1333,0.011611902853757971,4986682,120000,0.024064097129113105,1,0,1,1,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
572,"Przedszkolaki z Ursynowa sadzą drzewa i krzewy","education,environmental protection,public space","children,adults",ursynow,2020,114796,1272,0.011080525453848565,4986682,82200,0.016483906533442477,1,0,1,1,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
967,"Małe Zakopane latem i zimą - to propozycja ekologicznych bezpłatnych lodowisk i górek lodowych z których mogą korzystać całe rodziny na terenie Ursynowa.","culture,public space,sport","children,youth,adults,seniors",ursynow,2020,114796,1264,0.011010836614516186,4986682,996564,0.1998451074281456,0,0,0,0,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
