0,project_id,cost,category,votes,name,target,selected
1,659,20000,"education,culture,health",3349,Ursynowski szlak rowerowy,"children,youth,adults",1
2,1024,175000,"public space,sport,urban greenery",3216,Trampoliny ziemne w ursynowskich parkach i przy placach zabaw,"adults,families with children",1
3,1061,149000,"public transit and roads,culture,public space",3094,Świąteczna iluminacja z prawdziwego zdarzenia - aleja KEN pięknie oświetlona na święta Bożego Narodzenia,"adults,families with children",1
4,344,39800,culture,2950,Kino pod chmurką,"youth,adults",1
5,1106,4650,"environmental protection,public space,sport",2808,System oszczędnego oświetlenia dla wybranych plenerowych obiektów sportowych na Ursynowie,"children,youth,adults",1
6,1556,39000,public space,2758,Niedzielny targ zdrowej żywności na parkingu przy Ratuszu Dzielnicy (wiosna-lato-jesień),"adults,seniors,families with children",1
7,1034,102600,"environmental protection,public space,urban greenery",2612,"Tulipany i inne rośliny cebulowe w ursynowskich parkach, szkołach i przedszkolach","seniors,families with children",1
8,210,650000,"public transit and roads,environmental protection,sport",2510,Przebudowa drogi rowerowej wzdłuż Alei Kasztanowej,"children,youth,adults",1
9,635,110180,culture,2504,Bezpłatne seanse filmowe dla dzieci,families with children,1
10,264,257030,"education,culture,environmental protection",2467,Park motyli - kolorowa kraina edukacyjno-rekreacyjna dla dzieci i dorosłych oraz grup przedszkolnych i szkolnych,"children,families with children",1
11,300,131100,"education,sport",2438,Samoobrona dla kobiet i przeciwdziałanie przemocy rówieśniczej,"children,youth",1
12,643,22600,education,2255,Komunikacja bez przemocy w ursynowskich szkołach,"children,youth",1
13,349,60665,culture,2249,Bezpłatne seanse filmowe dla dorosłych,"adults,seniors,students",1
14,346,120000,"education,culture,public space",2190,Biblioboxy - całodobowe wrzutki na książki przy Bibliotekach na Ursynowie,"children,youth,adults",1
15,1967,7000,environmental protection,2163,Naturalnie powstające łąki - ograniczenie koszenia na rzecz obniżenia kosztów i podwyższenia wartości przyrodniczej,families with children,1
16,1027,43500,"education,health",2127,Kurs pierwszej pomocy,"youth,adults",1
17,1010,50800,"education,culture",2061,Ursynowska Ratuszowa Wyprzedaż Garażowa - wyprzedaże garażowe na Ursynowie,"seniors,families with children",1
18,1110,16161,education,2059,"Obywatele Ursynowa wiedzą, jak głosują radni - zakup elektronicznego systemu do jawnych głosowań w Radzie Dzielnicy","youth,adults",1
19,2257,3900,"education,environmental protection",1952,Kamera w ptasim gnieździe,"children,youth,adults",0
20,1072,15000,"education,culture",1949,Planszówka dla każdego - zakup ciekawych gier planszowych do ursynowskich bibliotek z możliwością wypożyczenia do domu,"seniors,families with children",0
21,2209,150000,"education,culture,health",1927,Ursynowskie potańcówki z muzyką na żywo,None,0
22,1551,14900,public space,1918,Kamery monitorujące on-line paśnik w Lesie Kabackim w paśmie widzialnym i nocnym,"adults,seniors",0
23,1432,127500,"public transit and roads,public space",1916,Wygodnie i bez konfliktów między pasażerami i rowerzystami na przystanku Dolina Służewiecka 01,"children,youth,adults",0
24,1534,6800,environmental protection,1902,"Stop Smog - kampania edukacyjna jak przeciwdziałać, jak się chronić","children,seniors,families with children",0
