election_id,voter_id,project_id
1,34608,1061
1,34608,1106
1,34608,1034
1,34608,210
1,34608,264
1,34608,643
1,34608,985
1,34608,1531
1,34608,637
1,34608,184
1,34608,639
1,34608,1560
1,34608,641
1,34608,1058
1,34608,1619
1,34608,668
1,34608,1043
1,34608,2098
1,34608,640
1,34608,1554
1,34608,1459
1,34608,1957
1,34608,1018
1,77885,1024
1,77885,1061
1,77885,1556
1,77885,210
1,77885,635
1,77885,264
1,77885,300
1,77885,346
1,77885,1110
1,77885,1072
1,77885,1531
1,77885,1644
1,77885,1115
1,77885,668
1,77885,1043
1,77885,640
1,77885,1467
1,42090,300
1,48145,1061
1,48145,344
1,48145,635
1,48145,300
1,48145,349
1,48145,1027
1,48145,184
1,48145,1075
1,48145,1058
1,48145,1043
1,84482,1061
1,84482,1556
1,84482,264
1,84482,300
1,84482,643
1,84482,1967
1,84482,2257
1,84482,1551
1,84482,1534
1,84482,1531
1,84482,1075
1,84482,1560
1,84482,1058
1,84482,1619
1,84482,645
1,84482,1603
1,84482,1459
1,84482,1957
1,46440,1024
1,46440,635
1,46440,1010
1,46440,1551
1,2140,1024
1,2140,1061
1,2140,1106
1,2140,1034
1,2140,635
1,2140,264
1,2140,300
1,2140,643
1,2140,1967
1,2140,1027
1,2140,1110
1,2140,2257
1,2140,1072
1,2140,1534
1,2140,985
1,2140,1531
1,2140,637
1,2140,184
1,2140,1075
1,2140,1644
1,2140,1115
1,2140,639
1,2140,1058
1,2140,668
1,2140,1043
1,2140,638
1,2140,1949
1,2140,2098
1,2140,645
1,2140,640
1,2140,1554
1,2140,1501
1,82363,659
1,82363,344
1,82363,210
1,82363,1644
1,82363,2098
1,80787,344
1,80787,1106
1,80787,1556
1,80787,264
1,80787,300
1,80787,1462
1,80787,2098
1,73559,659
1,73559,1061
1,73559,344
1,73559,1106
1,73559,1556
1,73559,1034
1,73559,635
1,73559,300
1,73559,643
1,73559,349
1,73559,1967
1,73559,1027
1,73559,1010
1,73559,1072
1,73559,1432
1,73559,1534
1,73559,1531
1,73559,1806
1,73559,637
1,73559,1075
1,73559,1644
1,73559,639
1,73559,1462
1,73559,1058
1,73559,1619
1,73559,668
1,73559,638
1,73559,645
1,73559,640
1,73559,1603
1,73559,1787
1,73559,926
1,72889,659
1,72889,1061
1,72889,1556
1,72889,641
1,72889,645
1,72889,1787
1,49988,1061
1,49988,344
1,49988,1106
1,49988,1556
1,49988,635
1,49988,264
1,49988,300
1,49988,643
1,49988,349
1,49988,1967
1,49988,1027
1,49988,1010
1,49988,1110
1,49988,2257
1,49988,1072
1,49988,1551
1,49988,1534
1,49988,985
1,49988,1075
1,49988,1644
1,49988,1462
1,49988,1560
1,49988,641
1,49988,1043
1,49988,1467
1,49988,1787
1,49988,1957
1,49988,1490
1,49988,1229
1,63827,1024
1,63827,344
1,63827,300
1,63827,643
1,63827,2257
1,63827,1551
1,63827,1531
1,84308,639
1,63312,1024
1,63312,1551
1,26589,344
1,26589,643
1,26589,349
1,26589,1967
1,26589,1010
1,26589,2257
1,26589,2209
1,26589,1534
1,26589,1075
1,26589,1557
1,26589,1560
1,26589,1603
1,26589,1957
1,13543,1061
1,13543,635
1,13543,346
1,13543,1110
1,13543,2209
1,13543,1806
1,13543,184
1,13543,2098
1,70679,1061
1,70679,1106
1,70679,1556
1,70679,1034
1,70679,210
1,70679,635
1,70679,264
1,70679,1010
1,70679,1110
1,70679,1806
1,70679,1573
1,70679,1501
1,70679,1459
1,31276,1061
1,31276,1010
1,31276,1110
1,31276,2098
1,43036,344
1,43036,1556
1,43036,264
1,43036,643
1,43036,1110
1,43036,641
1,43036,1949
1,61594,210
1,61594,1967
1,61594,1110
1,61594,1432
1,61594,1534
1,61594,1075
1,61594,1115
1,3290,1034
1,3290,643
1,3290,1462
1,3290,1949
1,76245,659
1,76245,344
1,76245,635
1,76245,643
1,76245,349
1,76245,1462
1,76245,640
1,76245,1501
1,69656,659
1,69656,1024
1,69656,1061
1,69656,1106
1,69656,1556
1,69656,1034
1,69656,210
1,69656,300
1,69656,1967
1,69656,1110
1,69656,1806
1,69656,1557
1,69656,1560
1,69656,1554
1,25006,1061
1,56261,2098
1,47062,639
1,78001,659
