election_id,voter_id,age,sex
1,34608,30,F
1,77885,2,M
1,42090,29,F
1,48145,41,F
1,84482,19,F
1,46440,42,F
1,2140,33,F
1,82363,33,M
1,80787,26,M
1,73559,15,M
1,72889,51,F
1,49988,70,F
1,63827,33,M
1,84308,47,F
1,63312,8,F
1,26589,45,F
1,13543,36,M
1,70679,41,F
1,31276,43,M
1,43036,38,F
1,61594,34,M
1,3290,33,M
1,76245,8,F
1,69656,4,F
1,25006,33,M
1,56261,56,F
1,47062,48,F
1,78001,7,M
1,77912,37,F
1,84187,4,F
1,52831,47,M
1,41499,24,F
1,47840,46,F
1,30283,37,F
1,76182,8,M
1,48147,4,F
1,58285,43,F
1,39137,30,F
1,50795,32,M
1,59979,19,F
1,40173,38,F
1,51425,38,F
1,43899,39,F
1,31882,47,M
1,77199,45,F
1,69379,43,M
1,30451,36,F
1,16962,18,M
1,15450,70,F
1,7204,27,M
1,71541,36,F
1,80864,42,M
1,54872,39,F
1,70697,39,F
1,25995,30,M
1,44026,71,M
1,21224,26,F
1,77869,43,F
1,52364,47,F
1,70883,40,F
1,23269,20,F
1,5721,36,F
1,12570,18,F
1,55726,42,F
1,26851,63,F
1,67922,60,F
1,40755,63,M
1,83332,50,F
1,83648,42,F
1,23538,33,F
1,49130,34,M
1,81819,41,F
1,74180,4,M
1,65836,9,F
1,31849,26,F
1,56443,34,F
1,47181,25,F
1,78127,36,F
1,43049,63,F
1,46528,33,F
1,61894,28,M
1,37524,84,M
1,38069,22,M
1,37499,62,F
1,32642,2,M
1,63218,31,M
1,67341,6,F
1,60603,35,F
1,67663,42,M
1,22456,36,F
1,37588,63,F
1,11830,29,F
1,41723,29,M
1,9632,53,F
1,61692,36,F
1,62506,34,M
1,3437,25,F
1,50407,71,M
1,58558,36,M
1,8717,62,M
1,72256,28,M
1,71812,1,F
1,65401,46,M
1,41623,36,F
1,63185,7,F
1,12205,44,F
1,59349,38,F
1,7786,32,M
1,45934,29,M
1,50343,37,M
1,73258,48,M
1,40561,33,F
1,71672,41,F
1,82115,62,M
1,46276,9,F
1,22593,34,F
1,62422,40,M
1,50550,42,M
1,83773,35,F
1,85921,31,M
1,4156,33,M
1,56943,30,F
1,70274,51,F
1,7139,69,F
1,14495,34,M
1,28838,32,F
1,37657,75,F
1,58860,10,F
1,86327,42,M
1,14890,30,F
1,80074,34,F
1,77621,42,F
1,20443,39,M
